Código Incidencia;Fecha Apertura;Descripción problema;Impacto Remedy;Sistema;JIRA;DELIV;Descripción Proyecto;Acciones;Status;Fecha Prevista;Motivo Resolución;Peticionario;Computar;Despliegue;Segmento;Tipo solucion
INC000004003024;26-abr;[2026R4] - TEIDE SIM SIN PIN NO DEJA CONTINUAR;3-Medio;TEIDE_OSP_Soporte_Tecnico;#N/D;;;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004002774;26-abr;[2026R4] - [PRJ-10523] No deja modificar el producto en CRM B2B;3-Medio;SOP_CRMB2B;"CRMBOP-2523 [ Done / Done ] 
";;PRJ-10523 Óptima Plus Empresas SVA 5G SA Slicing;;Cerrada;26-abr;RL-Error Datos Configuracion/Parametros;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004002873;26-abr;[2026R4][PRJ-10966] CRMB2B - No permite relacionar pedido con la interacción;3-Medio;SOP_CRMB2B;"CRMBOP-2524 [ Done / Done ] 
";;PRJ-10966 Escalado Tipificaciones SAC Pyme;;Cerrada;26-abr;RL-Error Datos Configuracion/Parametros;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004002776;26-abr;[2026R4] - [PRJ-10365] - ACME WEB - Error al guardar correo con caracteres especiales.;3-Medio;Tecnologia;"MICRO-73685 [ Cancelled / Won't Do ] 
INTEPS-29810 [ Done / Done ] 
";;PRJ-10365 Solución a incidencia para modificar direcciones de correo electrónico ;;Cerrada;26-abr;RL-Error Datos Configuracion/Parametros;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004002879;26-abr;[2026R4] - PRJ-10966 - Vista360 - No muestra las interacciones creadas en CRMB2B;3-Medio;SOP_VISTA360;"VISTA360-1241 [ Test /  ] 
";;PRJ-10966 Escalado Tipificaciones SAC Pyme;;Cerrada;26-abr;RL-Error Datos Configuracion/Parametros;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004002783;26-abr;[2026R4] - [Regresion] - AURORA -Error de traduccion de Componente en cambio de tarifa;3-Medio;SOP_CRMB2B;"CRMBOP-2526 [ To Do /  ] 
";;REGRESION;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004002787;26-abr;[2026R4] - [REGRESION ACME WEB] ERROR AL CONTRATAR BENEFICIO;3-Medio;SOP_TMC_ACME;#N/D;;REGRESION;;Cerrada;26-abr;Acción correctora temporal;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Acción correctora temporal
INC000004002882;26-abr;[2026R4] - [PRJ-10523] Time out en BSCS al enviar orden con Fast Track;3-Medio;SOP_CRMB2B;"CRMBOP-2527 [ Cancelled / Won't Do ] 
INTEPS-29815 [ Cancelled / Won't Do ] 
CRMBOP-2528 [ Cancelled / Won't Do ] 
";;PRJ-10523 Óptima Plus Empresas SVA 5G SA Slicing;apertura puertos;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003038;26-abr;"[2026R4] [PRJ-10733 GEMINI] - FICHA - Error en ""C.Soluciones""";3-Medio;DES_SOE_FICHA;"INTEPS-29814 [ To Do /  ] 
KRATOS-25168 [ Cancelled / Won't Do ] 
FRONTRE-45800 [ Cancelled / Won't Do ] 
MICRO-73691 [ Cancelled / Won't Do ] 
FDCOSP-2101 [ Cancelled / Won't Do ] 
";;PRJ-10733 SVA Gemini AI;;Cerrada;26-abr;RL-Error Datos Configuracion/Parametros;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004002884;26-abr;[2026R4] - [PRJ-10982] - PANGEA Fibra ORO. Botón seguir comprando en carrito lleva al DB Cliente;3-Medio;DES_SOE_PANGEA;"PANOSP-2158 [ Cancelled / Won't Do ] 
";;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
